Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.993218184,1.376415968,1.303460598,1.286568522,1.316395998,1.121554255,1.100847363,1.285737753,1.263881564,1.312226295,1.164567828,1.21023953,1.260758519,1.313844323,1.337275505,1.335668564,1.371497393,1.431547046,1.474684358
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.39611268,1.06650126,1.333964705,1.18941462,0.878117204,0.935463548,0.891707659,0.9344666,0.92887491,0.954700112,0.855120599,0.888859868,0.935710073,0.997997224,1.031072974,1.032191992,0.873180687,1.033424497,0.876146674,0.970811963,0.917313099,0.861676931,0.835315883,0.933572054
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.410462856,1.110600591,0.822056413,1.358955383,0.962002456,1.0896492,1.103950024,1.07445085,1.284419298,1.339270592,1.190873981,1.152648211,1.193521619,1.340566874,1.364100575,1.270700455,1.129330516,0.892175972,1.029623389,0.884671748,0.892080426,0.887528837,0.899418652,0.637995362
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.828929543,-0.702288449,-0.829794765,-1.185364962,-0.948100388,-1.059811115,-1.124819398,-1.092682362,-0.625996411,-0.330349982,-0.277853519,-0.238546923,-0.532135963,-0.715751827,-0.412859917,-0.559909523,-0.73391664,-0.80890882,-0.751900971,-0.711426675,-0.693412125,-0.852247477,-0.837816358,-0.931885719
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.071017742,1.087325573,1.279531837,0.955541909,0.826347828,0.890613675,0.938143432,0.810453713,0.730122447,0.774532914,0.859580457,0.993692219,1.103621483,1.184026003,1.134824634,0.956470132,0.894982457,0.959943354,0.976761103,0.847560644,0.801466107,0.830237448,0.850836754,0.883432567
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.307817906,-0.162360102,0.056266963,0.290830374,0.483918995,0.313402563,0.014162739,-0.365050614,-0.247773513,-0.237366229,-0.137239441,-0.493476391,-0.950841904,-1.129954934,-1.335417747,-0.907474875,-1.068262696,-0.792700231,-0.958746016,-0.846307814,-0.626835167,-0.61010927,-0.524779737,-0.407028496
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.54881525,-0.370746762,-0.726261258,-1.032590389,-1.115581155,-1.360476375,-1.863839388,-1.507097363,-1.543071628,-1.508331299,-1.546771407,-1.425789475,-1.404736876,-1.379088998,-1.627858877,-0.895563185,-1.209773779,-1.259732962,-1.253626704,-0.985568643,-0.928613365,-0.915807784,-1.036632776,-1.092371106
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.050371766,1.084265828,1.151199818,1.097199082,0.918948591,1.094352722,1.112918854,0.913211882,1.044206381,1.068358302,1.047740698,1.06063664,1.246130109,1.185965657,1.26692915,1.277919888,1.116827726,0.960008144,0.952523887,0.900504649,1.032812834,1.120577455,1.118416667,1.15202713
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.093739204,0.10947556,0.139502242,0.30280596,0.69302994,0.161766872,0.360231072,0.148469687,0.341008782,0.521403909,0.489347756,-0.094990097,-0.087769009,0.06861522,0.005959166,0.179782152,0.110905699,0.135706261,-0.057209238,0.353457749,0.344906747,-0.887608171,-0.754245222,-0.793873549
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.288499475,1.024129868,1.129811168,1.260802388,0.858237803,0.709136724,0.793774188,0.856375813,0.757325053,0.620571196,0.820824683,0.810646176,0.954535425,0.92359972,0.940082729,0.701269448,0.577092111,0.42960611,0.417606324,0.393630445,0.458316237,0.521023035,0.662566304,0.575668812
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.559152126,0.596629977,0.184220716,0.417992562,0.486082047,0.401561916,0.104911745,0.08197704,0.194921583,0.190071985,0.028430205,0.070427686,0.15190886,0.180257618,0.176189259,0.048583075,0.037259512,0.052189551,0.030403515,-0.002222205,0.061934385,0.518612146,0.272381902,0.426349759
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.050371766,0.742279053,0.799652576,0.821515858,0.679285824,0.265973479,0.449746281,0.54789257,0.386217624,0.376421362,0.403666675,0.261260122,0.318356365,0.364367604,0.301189363,0.027139762,-0.020496422,-0.008783503,0.026251886,-0.147074759,-0.420259506,-0.443083793,-0.396347791,-0.349461377
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.717076898,0.728511989,0.713235021,0.792559922,0.851720035,0.893765926,0.819073558,0.774651468,0.771330535,0.795972288,0.693532228,0.911838114,0.964122117,0.980253696,0.970303059,0.913897812,0.961817384,0.975613654,0.98148948,1.133034587,1.051399589,1.00336504,1.002396107,1.034533978
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.724004507,0.539632082,0.491936684,0.693675578,0.918948591,1.172050357,1.284487367,1.264518976,0.568526506,0.720669389,0.803496659,0.742221653,0.826495349,0.77630949,0.784624875,1.068038583,0.960772634,1.106088281,1.102793097,1.077452898,1.065351009,1.013411403,0.797127724,0.864817739
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.134768322,-0.241092369,-0.237061173,-0.286515564,-0.83488518,-0.680570841,-0.971029878,-0.802562952,-0.852070689,-0.696565807,-0.506110489,-0.415407211,-0.417126507,-0.458068103,-0.328593433,-0.333112091,-0.270498693,-0.253675967,-0.280111223,-0.28669095,-0.728338599,-0.453478873,-0.278813034,-0.283260942
Bosnia and Herzegovina,BIH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.594427824,-0.58641547,-0.528393328,-0.163837284,-0.405683517,0.017319396,-0.500624359,-0.441336751,-0.631416619,-0.539653778,-0.665914297,-0.693730175,-0.819794893,-0.538148701,-0.404944122,-0.019179042,-0.404167622,-0.402664006,-0.351470172,-0.400912255,-0.424830645,-0.447489053,-0.421767116,-0.43937102
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.015245199,0.955491304,1.074352503,0.873264432,1.104937553,0.91668874,1.063572526,1.017109871,1.056139112,1.033105612,0.953861237,0.991209805,1.064446568,1.104041457,1.102347016,1.011847138,1.031368256,0.979198039,1.009294391,0.958273768,1.095207453,1.013090372,1.041259646,1.077516079
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.220460132,-0.339505792,0.184101626,0.327800274,0.004213934,-0.275992811,-0.263379753,-0.294911116,-0.357948095,-0.313424706,0.163664222,0.013475911,-0.132575423,0.045961641,-0.258553296,-0.070290133,-0.331864446,-0.38103506,-0.480093956,-0.459640145,-0.714393616,-0.445607245,-0.41969654,-0.3314659
Brunei Darussalam,BRN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.237043977,1.111638665,1.302023292,1.155532122,1.144425869,1.369434714,1.212659836,1.12335515,1.107106924,1.125619054,1.387126684,1.277547002,1.085193753,0.909327209,1.074022293,1.261507034,1.233712554,1.142017841,1.153425217,1.235813618,1.110963702,1.187998414,1.171651721,1.257367969
Bulgaria,BGR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.091028079,0.57502526,0.377964616,0.467512369,0.173525497,0.003630734,0.14727059,0.39442119,0.357635468,0.369860709,0.353678972,0.36009106,0.301750302,0.379833996,0.170710385,0.078540899,0.010424642,0.068279371,0.321378797,0.444267064,0.561198294,0.40158087,0.364647597,0.24625206
Burkina Faso,BFA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.300746202,-0.112211242,0.059820332,-0.306921244,0.067120068,-0.081237517,-0.062652916,0.155799553,0.307008684,0.118724599,0.034040287,-0.117637143,-0.555381477,-0.573129237,-0.763390124,-0.787128568,-0.609127343,-0.868710697,-0.927885592,-1.060256481,-1.30215323,-1.537941337,-1.642869711,-1.782517433
Burundi,BDI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.11674881,-2.29753232,-2.014070749,-2.284772396,-2.244831324,-2.522759676,-1.523378015,-1.427773476,-1.377925158,-1.636498332,-1.271442652,-1.625959396,-1.807200432,-1.70473814,-1.350277543,-0.784407139,-1.937446117,-1.964375138,-2.002573967,-1.570218563,-1.624993443,-1.542314768,-1.258357525,-1.188869476
Cabo Verde,CPV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.035551429,1.113963246,1.223599792,0.72962153,0.918948591,1.039301276,0.754638612,0.962325037,0.877260089,0.813386321,0.818449318,0.840972781,0.722605228,0.809086382,0.777999878,0.350779146,0.855819821,0.87119019,0.762864292,0.833078504,0.859521031,0.874160886,0.894233108,0.929428399
Cambodia,KHM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.104553103,-1.264929175,-0.77603066,-0.722165346,-0.652008533,-0.407748282,-0.393915474,-0.345979184,-0.363606304,-0.298690915,-0.560373843,-0.50098443,-0.304419667,-0.103577204,-0.136436149,0.023174802,0.063348144,0.20619081,0.093508989,0.110811263,-0.075531386,-0.209088624,-0.131573156,-0.036172446
Cameroon,CMR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.956391931,-0.784960151,-0.564015806,-0.67726481,-0.429470658,-0.359356344,-0.182024568,-0.24470523,-0.326108962,-0.55211091,-0.474782139,-0.736971438,-0.66168797,-0.588517427,-0.532237291,-1.059252381,-0.989914,-1.061213017,-1.091504693,-1.401759028,-1.561764836,-1.513643622,-1.394035697,-1.352949023
Canada,CAN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.234051704,0.950881243,1.167526841,1.218031764,1.053076744,0.876447499,0.82872504,1.034956574,1.007010698,1.041372657,1.127075911,0.936318219,1.077175736,1.113016248,1.061421752,1.17550385,1.26233685,1.240411639,1.089679599,0.963774383,0.994817913,1.013104677,0.962195992,0.772814035
Cayman Islands,CYM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.717076898,0.728511989,0.713235021,0.792559922,0.851720035,1.234749317,1.189666033,1.104799986,1.085738063,1.112509608,1.09262681,1.149637938,1.336360812,0.959384382,1.017615318,1.04634726,1.1286937,1.1407758,1.162609696,1.110623479,1.401382208,1.456373334,1.624580383,1.649437666
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.211729646,-1.141749382,-1.12044251,-1.733406186,-1.538873434,-1.424244881,-1.427994967,-1.851551533,-1.857264042,-1.843814135,-1.903989911,-2.020625353,-1.789389133,-1.852922916,-2.154896736,-2.699193239,-1.89358747,-1.779548764,-1.993532181,-2.172087193,-2.13577795,-2.236208916,-2.12673974,-2.162472963
Chad,TCD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.998601556,-1.306433678,-1.134754062,-1.559618831,-1.372430205,-1.539456844,-1.442237139,-1.831755042,-1.868080497,-1.965196609,-1.726229668,-1.524827719,-1.318085194,-1.044117332,-1.089472294,-1.568882704,-0.973281741,-1.301894188,-1.286392093,-1.477965355,-1.350407004,-1.255195975,-1.389812827,-1.483703375
Chile,CHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.676454544,0.033281282,0.485464156,1.088796377,0.761611938,0.691341698,0.842383623,0.613005877,0.406370878,0.431912959,0.602584422,0.67960453,0.452553362,0.331102103,0.36374253,0.447516918,0.424871743,0.402406216,0.406280667,0.412628829,-0.016168356,0.044010442,0.161352158,0.118578859
China,CHN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.097848825,-0.394105226,-0.209916875,-0.327627182,-0.565357924,-0.390680671,-0.501756608,-0.540030122,-0.500553727,-0.493088424,-0.451781332,-0.657060683,-0.602054834,-0.53878206,-0.543789923,-0.522584021,-0.552559674,-0.502221346,-0.232558474,-0.298641503,-0.259810865,-0.473098785,-0.516728878,-0.441073626
Colombia,COL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.6478585,-1.793921709,-1.608960748,-1.956714392,-2.376026869,-2.271226406,-2.057942867,-1.90479672,-1.806527257,-1.853462338,-1.832345843,-1.537184834,-1.284655571,-1.401810408,-1.291971803,-1.114594102,-1.072663784,-0.887163997,-0.779457688,-0.806959629,-0.979467273,-0.701150596,-0.954557538,-0.641925931
Comoros,COM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.507538915,0.564976454,0.02275865,0.402049303,-0.673140526,-0.163161784,-0.436263949,-0.360273153,-1.095457792,-1.107211709,-0.76526773,-0.562939286,-0.552736104,-0.452308029,-0.256929189,-0.186910167,-0.24447161,0.022001922,0.022407399,-0.361675262,-0.17683351,-0.28740406,-0.228033617,-0.230514869
"Congo, Dem. Rep.",COD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.682812929,-2.847851753,-2.474238157,-1.975927949,-2.02786994,-2.387764215,-2.128561497,-2.246732235,-2.178499937,-2.003076315,-2.000982761,-2.196742058,-2.21298933,-2.085892916,-2.192190647,-2.167921305,-2.138853312,-2.224589348,-2.339438915,-2.080746651,-1.624438524,-1.785483599,-1.657812476,-1.977746248
"Congo, Rep.",COG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.224944949,-1.50108397,-0.922982037,-1.587167978,-1.170220375,-1.190597773,-1.165839434,-0.923411787,-0.771577418,-0.721322358,-0.250487626,-0.316415846,-0.35430038,-0.489689857,-0.475050122,-0.359291583,-0.5291273,-0.523459077,-0.533614933,-0.348402858,-0.299301684,-0.213065609,-0.229479313,-0.016906014
Cook Islands,COK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,..,..,..,..,..,1.144098997,1.322361231,..,..,..,..,..,..,..,0.933196068,1.120247364,1.15194726,1.148515224,1.158820033
Costa Rica,CRI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7530514,0.903728962,0.868542314,1.068694472,0.59575659,0.631576538,0.708228171,0.736050129,0.582772672,0.359765232,0.587060392,0.691537201,0.508276045,0.638402462,0.677918017,0.577418208,0.669974029,0.648553014,0.597006142,0.453240991,0.430242807,0.746752381,0.860289991,0.954446793
Cote d'Ivoire,CIV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.033416919,-0.203814626,-1.240804076,-1.919733882,-1.803262711,-2.114921093,-2.259528875,-1.861868382,-1.839572787,-1.804067373,-1.320862532,-1.583894253,-1.405807614,-1.263461113,-1.048724174,-1.037160635,-0.835078061,-0.909238815,-1.091115832,-0.898008049,-1.036474109,-1.033205271,-0.715018511,-0.516378641
Croatia,HRV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.03835905,0.067885965,0.28022489,0.628807724,0.558495879,0.686754405,0.434474081,0.560829282,0.605396986,0.57365191,0.61292696,0.608463645,0.62374711,0.606891453,0.64266789,0.619112372,0.586513638,0.654191136,0.681904495,0.793498814,0.685416102,0.607223809,0.62148279,0.612161279
Cuba,CUB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.231270432,0.007875389,0.248432532,0.263644099,0.316652775,0.355422109,0.424785823,0.474477261,0.450941592,0.524226606,0.356679857,0.349292427,0.280382127,0.307248294,0.37056464,0.544822037,0.634750009,0.673131645,0.638509929,0.640438855,0.610411108,0.596087813,0.392701924,0.499521583
Cyprus,CYP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.38775152,0.222172737,0.517499864,0.199420601,0.532275915,0.380177587,0.517519236,0.539664984,0.537055731,0.639003932,0.390287489,0.452444822,0.607984483,0.635126054,0.563347161,0.551882088,0.542449117,0.593786836,0.530973077,0.484394073,0.544513285,0.288732588,0.422054201,0.41863507
Czechia,CZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.147758007,0.899568975,0.332739621,1.044100642,0.887058139,0.653875828,0.936384082,1.053728819,1.015414,1.049879551,0.90582937,0.989233732,1.109117627,1.054106116,1.084778547,0.989990473,0.970251083,0.963384211,0.990649343,1.02620995,0.941883624,0.91225487,0.947398126,0.81544137
Denmark,DNK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.441964746,1.431966305,1.50106895,1.52424407,1.203815699,1.084337354,1.073495388,1.046792865,1.118189216,1.065386772,1.001182675,1.040961027,1.10029304,0.914910674,0.959233463,0.951779723,0.887059271,0.852912426,0.854936242,0.931788921,0.967484951,0.920160234,0.928524494,0.865008831
Djibouti,DJI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.339192003,-0.964446723,-0.241125971,-0.313102961,-0.912803233,-0.344115853,-0.812229693,-0.262578547,-0.123644054,0.268389225,0.494239002,0.253481269,0.177703246,0.160619214,-0.102187522,-0.77023226,-0.44767192,-0.628553987,-0.733945012,-0.133512378,-0.343412548,-0.448214263,-0.56633985,-0.508419454
Dominica,DMA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.717076898,0.728511989,0.486361712,0.547456384,0.672486365,0.945150733,0.829529405,0.909698367,0.787364066,0.911906004,0.665553093,0.903117776,1.139158607,0.980585456,1.119856238,1.05717814,1.054432034,0.9776631,1.172775149,1.068851233,1.029823542,1.316998243,1.333959103,1.298232317
Dominican Republic,DOM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.075660296,-0.416316986,0.012947378,0.118558995,-0.419894457,-0.344310492,-0.258760691,-0.109803066,-0.07857246,-0.03800771,-0.002735103,-0.044954035,-0.00048185,0.252366811,0.207428694,0.145934492,0.227570921,0.241259411,0.15207319,0.012199945,-0.003159933,0.164941698,0.287300646,0.328113049
Ecuador,ECU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.77003324,-0.162388325,-0.572284937,-0.759720922,-0.96105659,-0.842910349,-0.793961823,-0.853825331,-0.815987229,-0.728682399,-0.673675776,-0.586674452,-0.686557531,-0.57030648,-0.178656712,-0.018533209,-0.147344977,-0.091710433,-0.078932591,-0.094810791,-0.238249406,-0.270263135,-0.257427931,-0.239295244
"Egypt, Arab Rep.",EGY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.526031971,-0.020769719,0.049797524,-0.414172113,-0.640924513,-0.822401702,-0.629358649,-0.837807655,-0.552382112,-0.510431707,-0.607227087,-0.898418307,-1.437057018,-1.436329722,-1.6388309,-1.631176591,-1.49933219,-1.43972683,-1.429645181,-1.188100696,-1.124602079,-1.181911707,-1.032840967,-1.028056622
El Salvador,SLV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.215370372,0.090679064,0.329205334,0.293994129,-0.180753872,-0.069100976,-0.033760875,-0.168158025,-0.007270731,0.039393112,-0.007116277,0.058842227,0.111001194,0.234583974,-0.033658903,-0.024590004,-0.020496048,-0.104568757,-0.263820618,-0.389219522,-0.120268002,-0.115019135,-0.09154629,-0.153124496
Equatorial Guinea,GNQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.131352261,-0.080597825,-0.035038944,-0.514396369,0.114630744,-0.059478026,-0.386098802,0.1687904,0.256654739,0.207544371,0.3733024,0.236128226,0.150343806,0.232703447,0.120355181,-0.374146551,-0.207799196,-0.14674297,-0.172020316,-0.090242371,-0.147936091,-0.22158289,-0.20278056,-0.074253544
Eritrea,ERI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.936975658,-0.970755875,-0.768895209,-0.267155766,-0.719599485,-0.639386833,-0.795017481,-0.900216937,-1.04984796,-0.710803747,-0.680884719,-0.875592828,-0.76640439,-0.702197254,-0.772372127,-0.805872619,-0.878453434,-0.662282407,-0.733444393,-0.609398246,-0.705968618,-0.992728472,-1.055657029,-0.970292985
Estonia,EST,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.767924547,0.657050669,0.902080297,0.927854419,0.894786239,0.703926206,0.605274677,0.736678243,0.634109557,0.571973562,0.567619026,0.661366999,0.611041307,0.636465192,0.748215437,0.780257881,0.613857269,0.662796259,0.642369628,0.580257714,0.630106986,0.709752977,0.748466134,0.723720729
Eswatini,SWZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.206821382,-0.005001639,0.037518527,0.126366228,0.066245928,-0.00466019,-0.39314878,-0.27087,0.048026636,-0.077395976,-0.014716631,-0.076072693,-0.479735821,-0.407692343,-0.431911141,-0.500559747,-0.480209202,-0.494323075,-0.270877749,-0.377810627,-0.274407119,-0.040577199,-0.34604305,-0.24972333
Ethiopia,ETH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.054742932,-0.63226676,-0.946032107,-1.225845575,-1.40960443,-1.312491655,-1.690383315,-1.740132213,-1.806409359,-1.732120633,-1.641072273,-1.635101199,-1.50696373,-1.564271331,-1.407307386,-1.339387417,-1.496942043,-1.617245197,-1.677229643,-1.274579644,-1.303721905,-1.753656149,-2.183713198,-2.038067579
Fiji,FJI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.830568552,0.856274605,0.301403165,0.473941058,0.452653438,0.389960021,0.386921287,-0.034058049,0.061876796,-0.066948675,-0.27288565,-0.190827519,-0.071288198,-0.067774832,-0.051027689,0.553164601,0.569660664,0.897029459,0.586045206,0.833207309,0.779773772,0.661915123,0.724108815,0.764339507
Finland,FIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.412718773,1.473387837,1.720112085,1.75318408,1.687017441,1.61962688,1.594946861,1.501111031,1.488697052,1.445868373,1.459671497,1.423606873,1.393471003,1.400765181,1.385172486,1.282197237,1.027998209,0.982591867,1.063806653,0.891700327,0.835154116,0.981748819,0.963134944,0.891491711
France,FRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.887499452,0.698888779,0.785089076,0.924183249,0.179551065,0.345115304,0.399723917,0.595505774,0.563000798,0.543759167,0.512012899,0.681087554,0.602992833,0.554941535,0.448744118,0.300568491,0.097759806,-0.106349595,0.265700728,0.0137935,0.271274894,0.280948132,0.325523823,0.334524125
French Guiana,GUF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.038409136,0.046967462,0.032615215,0.302352816,0.313361704,0.173084646,0.206954107,0.047181822,0.0552621,0.071662426,0.302413434,0.191745475,0.193025932,0.215082258,0.218277127,0.527634025,0.559771299,0.538475215,0.492239535,0.514202237,0.243846178,0.316747218,0.327672392,0.331466466
Gabon,GAB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.125683025,0.325020939,0.640210629,0.410248697,0.299038559,0.408170909,0.325625747,0.220006227,0.302844584,0.261874706,0.140438765,0.299279243,0.384890914,0.29329142,0.330102742,0.149542809,0.015247292,-0.110105984,-0.105891399,-0.257414043,-0.075141385,-0.065801933,-0.075772829,0.069895133
