Series Name,Series Code,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.429284653,4.735836499,7.378974998,6.175625221,6.379540876,5.615178982,5.032015254,3.54997271,3.482112605,2.987119774,2.759349218,2.632207131,2.532211946,..,..,..,..,2.128759302,2.133405395,..,2.230112418,2.254510878,2.129549118,2.298616612,2.422530229,2.139204419,1.694023645,1.807067361,1.940404657,1.641786917,2.236277062,1.910211896,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.62485823,10.14281445,14.54042504,12.14584031,17.68728539,13.35318507,16.72501291,14.83055287,..,..,22.76824998,13.04508746,15.56876905,14.77146331,12.82464197,14.95094939,17.29689266,21.80802507,20.12155625,23.63767519,25.18270859,33.60232835,28.79121397,30.85699468,31.35190977,37.17874445,28.03196654,30.57490853,22.64208218,23.48247589,17.95943873,29.17342375,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.815748515,1.264310413,0.919339455,..,..,..,1.232442825,1.069054935,..,..,..,..,0.38441874,0.540373317,1.10220632,0.164792903,0.990036112,0.734730164,0.871858239,0.686428433,0.220241355,0.283756165,0.411852002,0.336170726,0.267703841,0,0.068340298,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.587594946,2.793336736,2.611454111,2.542797429,2.811447317,2.549098,2.920868082,2.680108903,2.818706402,2.875803789,2.687491998,2.640285901,2.704965765,2.852039227,2.894307782,2.556548193,2.247401006,2.193530539,2.339874993,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.13410696,8.095542825,8.454628429,8.046115738,7.64200274,6.481041999,..,..,7.586059099,8.706531223,7.556951073,9.420577934,9.382447318,12.33649472,8.193515949,10.76158633,12.94256644,9.2100028,8.436172105,6.939587241,11.28458635,9.800843236,7.965314675,8.668484641,9.009236269,11.14775085,7.895237377,10.745486,10.01113739,17.13187439,14.60670555,11.37982109,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.871254564,4.446519912,5.670153159,7.213407664,7.913783104,9.176332403,9.294340159,9.816436012,10.00244654,9.448712264,9.876680431,9.49887457,9.757890362,..,..,..,..,6.604935118,5.639658899,4.990926404,4.120670072,3.842595147,3.507414933,3.436129498,3.50741837,3.360613751,3.162304506,2.472219464,2.330960618,2.325828763,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.040930784,1.023645979,1.207521221,1.440788372,1.191755199,1.40660936,1.185392468,1.427885973,..,..,2.065402631,2.735406063,3.080468252,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.076526432,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.05448283,25.79610197,33.98610086,25.37898014,29.03040292,28.88987963,31.86373405,32.64086468,33.69630469,30.87495484,40.04886583,37.62849448,43.01917468,28.72166818,34.90995785,33.06740471,37.57018887,37.89764167,37.42808834,34.43889025,25.8279831,31.24757831,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.127497407,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.740038281,5.18367488,1.714604141,5.107295772,10.15030916,..,6.684436126,3.320769754,0,3.279683183,0,4.857277011,1.609282341,3.201664866,1.593866801,3.17669576,4.755827871,4.750180111,7.904201083,9.47066855,11.03283055,12.59188138,9.439825049,7.873271817,6.313629548,6.334726973,12.68472125,7.902015014,..,0,10.93229008,10.90597492,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.581392517,2.113755262,4.945562182,3.647967314,3.836860527,3.032968366,2.232583061,1.280023406,1.97436024,2.276747404,3.065358553,3.149689838,3.06922888,0.787864368,2.307724261,1.65831729,1.336780246,2.053949929,2.60969036,2.293323204,2.26784207,4.485999127,4.57605296,3.292684684,..,1.614478644,1.200381721,1.719300403,1.180952806,1.042400962,2.459527822,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.896265227,5.700072063,6.532270663,4.94533211,4.219977313,3.493585291,3.493530181,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.624275848,..,..,..,..,..,..,..,..,..,2.368789405,1.954739672,2.143668675,..,1.641378178,..,..,1.64675774,1.673686217,1.830958674,1.469396666,1.362491907,1.714577776,1.271575843,1.400141554,1.617331437,1.292737173,1.22092065,1.147015304,1.249735361,1.295802279,0.978311148,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.08901602,14.2050954,17.07845167,13.93158462,15.37399217,13.53240661,14.23504189,13.99876452,14.10446184,14.48607078,..,..,..,..,..,..,..,..,..,8.678912442,10.54696238,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.44255874,18.35732723,16.65600298,17.68025536,18.54349882,20.79321315,23.42488199,24.03310081,24.52645474,24.73624989,25.7997614,26.90898025,27.54372392,27.96046754,26.19828106,25.47841509,26.03793159,25.0189417,26.02086318,26.45571076,26.63003314,26.35563761,28.19714307,28.17990386,29.35864672,28.35640577,29.58915444,30.59303721,26.63601257,20.8104642,22.3840654,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.403483495,0,0,0,0,11.31573736,11.03722303,..,..,5.105687736,..,4.841091182,4.697592484,9.098560153,17.60912152,..,8.222838935,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.939293786,2.554156091,1.249404581,1.223075147,1.197868393,..,..,0.84735111,0.554845815,0.545378936,0.804703762,0.792082345,0.260032036,0.768617846,0.252491778,0.249062281,0.983685575,0.485787674,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.589025554,4.29963996,5.329616906,5.690042153,5.755418575,5.827134974,5.213431705,4.784248715,4.62663482,4.006223245,4.099933913,3.833296172,3.197568343,3.119577248,3.102227355,2.546312987,2.395044267,2.293032595,2.241067749,1.964704606,1.949350474,1.696908313,1.882926319,1.46679509,1.519232912,1.72384225,1.09026053,1.434055348,1.292601312,1.176882289,0.988655607,1.277979862,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.634502437,0.640082234,0.598592111,0.469380905,0.498945237,0.659555211,1.027929386,0.891613012,0.78819825,0.559634844,0.693972912,0.708730049,0.739223164,0.646029931,1.120862796,1.25044052,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.104395609,5.123365973,5.374032418,4.297507394,5.823910178,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.12442068,4.315810458,8.92807321,7.015658951,..,..,..,..,..,..,10.00111123,11.90310506,8.330828048,11.10326122,6.726211338,5.427156616,5.718935134,6.178772484,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.414390914,5.847581852,2.848720797,3.635688282,4.846810171,2.773022671,6.795738857,4.88276059,4.711671685,3.29870049,3.383278888,3.980384135,3.925825559,3.38200425,2.967848041,2.865519424,2.388143021,2.338274003,2.304447123,1.83890575,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.041428127,4.87308895,6.478558892,6.126819289,..,..,..,..,4.132697729,6.609979236,5.025647277,4.083354618,4.183964348,..,..,3.741421049,3.319046392,4.115904274,..,..,4.537375241,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.375511234,2.691342254,2.585753125,2.183606684,2.056506413,2.004136476,2.142337078,1.960997434,1.854382107,1.773039293,1.779468889,1.786937535,1.858095284,1.736273085,1.95853125,2.061093032,1.868936695,1.816662621,1.848365373,1.815804927,1.640000103,1.774292977,1.582502948,1.451644095,1.482857825,1.709945834,1.705731802,1.819209056,1.787486053,1.836227459,2.003235529,2.065259474,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.684180194,7.315155173,3.487175911,6.658122077,6.365878889,6.097189196,2.92453244,5.62129346,2.706616324,0,10.08611017,4.871573153,0,6.839555429,11.0408179,6.420339636,2.075679266,4.028440792,7.824266964,15.20869177,16.64401232,..,..,8.589294304,8.394966378,..,..,4.718390714,10.78848406,3.024163063,4.456956938,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.12040065,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.659308781,1.307198086,..,0.639218619,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.234733547,..,3.560982537,3.611970425,3.734343077,3.529102174,3.742548986,3.181574017,3.703364466,2.502627903,3.175342075,2.476379971,2.344695538,3.428467879,4.240938207,4.411422526,3.944434318,4.797849279,3.632038675,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.245710723,2.06879623,2.10615362,..,..,..,..,2.051328299,1.892583138,1.905512151,1.591708022,1.368759718,1.219738079,1.113469087,1.095266945,0.994665915,0.885346696,0.825868842,0.773199449,0.727914756,0.66010605,0.615882984,0.566555784,0.531025484,0.518966641,0.502270364,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.6287141,85.42757857,83.04301132,82.16443084,76.72091321,62.05431561,63.74108638,62.21182534,60.84953558,63.12032958,67.67540048,69.88324553,70.17097262,57.2925608,48.52542669,42.89577636,40.86465056,39.71220864,36.83643661,35.69307583,34.49429388,35.59344892,35.90898226,33.35356924,28.58523319,27.12876441,26.04042243,25.43448835,26.23132516,25.75347264,24.24276338,27.48436513,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.401166657,4.074810433,4.816463394,4.698458788,5.216167137,5.149941671,5.16925339,5.615841916,5.86169309,6.279748708,6.257550998,6.340633903,6.258151667,7.162279711,6.583898441,7.762019719,8.017045472,8.310775247,11.3729228,11.50526695,11.40137009,10.1283642,8.592673194,8.577627003,9.846647242,11.37839559,11.68808978,12.07487262,11.6054527,11.07279992,11.12606515,11.40870985,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.811002263,9.020497791,8.065321182,4.54886667,2.967158637,3.453225437,2.563763908,2.504578018,2.253251522,2.410251255,2.220544478,1.797300455,1.628421623,1.54669038,1.867959985,1.535099081,1.675133068,1.407321522,1.615963351,1.118177817,1.419192333,1.125960125,1.17739553,1.067569366,0.840341627,0.869603026,1.041728075,1.097206143,0.576855823,0.799079557,0.976355239,0.812780756,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.240872839,7.397886566,8.275768444,7.797411534,6.676985589,6.792064359,7.413611935,5.501308051,5.285530765,5.431305344,5.917609508,5.732543623,5.879578482,6.082100893,5.115166736,5.039979549,4.566975764,5.007451353,4.472819539,4.726203048,5.491060889,5.953232939,5.29472841,5.458604816,5.043197144,4.55170753,4.334299297,4.418250503,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.110807717,27.58474351,30.04723705,28.25968584,17.65548712,12.02694035,17.09182583,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.634115409,0.125146969,0.246782268,0.605337503,0.828947805,1.043578081,1.136288099,0.668545651,0.765311701,1.07342207,0.843670494,0.725516412,0.203625657,..,1.570653132,1.928525936,1.42121091,1.210571455,0.823881581,1.71021104,0.708161696,0.785967168,1.902198466,1.028305391,0.934583409,1.263391955,1.08524925,0.579219427,1.230687437,1.220666867,1.212084972,1.285979289,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.005560829,1.706798742,1.680321138,1.819235241,1.695273184,1.678188439,1.866198456,1.319612491,1.357664504,1.590548434,1.30591573,1.050572109,1.26154618,1.218824571,1.098415843,0.901980615,0.984256765,0.81933021,0.998947347,0.855956542,0.770168319,0.83620005,0.617425231,0.626702958,..,0.920576896,0.731177856,0.447161218,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.796948504,1.31825738,1.197959064,1.367020966,1.438490299,1.126987306,1.293757667,1.667493623,0.92470417,0.977470434,1.086009113,0.970013796,0.892409444,..,..,..,..,..,..,..,0.756641079,0.824961765,0.839141936,0.853275007,1.309583274,1.091973012,0.981275683,1.237519248,1.005776975,1.138740325,0.944102117,0.80283685,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.05520903,10.18959933,2.926286835,1.467297605,13.18449503,11.68864375,11.66622918,11.64932616,7.273573652,10.17811705,10.17708121,18.89905723,21.81659516,8.728288383,..,..,12.97372101,12.85594909,22.83267927,26.98748633,18.35574853,18.2001456,20.83492489,13.80977041,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.47526586,10.86526266,12.27548728,13.01150424,12.79582726,12.880175,12.73607755,13.53517282,12.67331592,14.16730522,12.63115712,14.54218661,21.32322375,24.75913476,26.12177417,23.0930763,22.45217771,25.13927542,24.61634519,25.30750822,25.37426024,22.61017413,19.47415643,17.60338218,..,15.35013968,11.42079584,9.920551523,9.4285157,8.736630898,10.54158423,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.536017905,10.78953675,8.566803937,8.317742058,10.03731873,11.86791395,12.4214217,10.98249841,13.46585029,13.55135165,14.51707903,12.90722268,14.58233563,..,..,..,..,15.94882287,17.98328279,17.80534263,17.50548739,15.37630807,12.41290702,10.97119603,8.209051839,6.483121471,5.83348059,5.809446327,5.841673659,6.843967713,7.800509142,14.02425488,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.470159464,0.491375071,0.46008326,0.397509376,0.367975919,..,..,..,..,..,..,..,..,0.620036071,0.415363675,0.660130202,0.680890798,0.827061898,1.153321615,1.066653399,2.107678087,3.030267224,2.41888524,..,3.023255298,1.750852941,1.535315829,1.336092161,..,..,..,..,..,..
